unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
3661792,HK760148,2001-01-01 00:00:00 UTC,054XX S DREXEL AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,2131,2,5,41,06,1183119.0,1869343.0,2001,2006-03-31 22:03:38 UTC,41.796676399,-87.604012947,"(41.796676399, -87.604012947)"
4349650,HL648777,2001-01-01 00:00:00 UTC,004XX W 126TH PL,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,523,5,9,53,06,1175398.0,1821071.0,2001,2006-03-31 22:03:38 UTC,41.664387922,-87.633765126,"(41.664387922, -87.633765126)"
1320404,G013841,2001-01-01 00:00:00 UTC,019XX N HALSTED ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1813,18,,,14,1170614.0,1912940.0,2001,2015-08-17 15:03:40 UTC,41.916592082,-87.648594807,"(41.916592082, -87.648594807)"
1309885,G000065,2001-01-01 00:00:00 UTC,045XX N CLARENDON AV,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2313,19,,,14,1170063.0,1930105.0,2001,2015-08-17 15:03:40 UTC,41.963705611,-87.650116531,"(41.963705611, -87.650116531)"
5926227,HN727099,2001-01-01 00:00:00 UTC,113XX S STEWART AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,2233,22,34,49,06,1175615.0,1829550.0,2001,2007-12-25 01:03:45 UTC,41.687650803,-87.6327187,"(41.687650803, -87.6327187)"
1369398,G076100,2001-01-01 00:00:00 UTC,017XX W SCHOOL ST,1120,DECEPTIVE PRACTICE,FORGERY,OTHER,false,false,1924,19,,,10,1164115.0,1921915.0,2001,2015-08-17 15:03:40 UTC,41.941359919,-87.67221762,"(41.941359919, -87.67221762)"
11297734,JB240630,2001-01-01 00:00:00 UTC,038XX W 62ND ST,1155,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,OTHER,false,false,823,8,23,65,11,,,2001,2018-10-27 16:00:07 UTC,,,
1310162,G000610,2001-01-01 00:00:00 UTC,036XX W 80 ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,834,8,,,14,1153701.0,1851269.0,2001,2015-08-17 15:03:40 UTC,41.747712773,-87.712370684,"(41.747712773, -87.712370684)"
6835516,HR155487,2001-01-01 00:00:00 UTC,036XX W BELLE PLAINE AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,APARTMENT,false,true,1723,17,33,16,17,1151151.0,1926961.0,2001,2009-08-21 09:11:30 UTC,41.955470999,-87.719732867,"(41.955470999, -87.719732867)"
9755209,HX403553,2001-01-01 00:00:00 UTC,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,10,24,29,17,,,2001,2015-08-17 15:03:40 UTC,,,
1413854,G129824,2001-01-01 00:00:00 UTC,051XX S KEDZIE AV,0820,THEFT,$500 AND UNDER,OTHER,false,false,911,9,,,06,1155955.0,1870337.0,2001,2015-08-17 15:03:40 UTC,41.799993307,-87.703599627,"(41.799993307, -87.703599627)"
